id,slug,classification,recall,ai_chars,wiki_chars,unsupported_entities,wiki_url,title
27,the-diary-of-a-young-girl,RISKY,0.167,696,1204,,https://en.wikipedia.org/wiki/The_Diary_of_a_Young_Girl,The Diary of a Young Girl
53,tropic-of-cancer,UNVERIFIABLE,0.000,97,0,,,Tropic of Cancer
69,the-awakening,RISKY,0.245,599,1203,,https://en.wikipedia.org/wiki/The_Awakening_(Chopin_novel),The Awakening
86,one-day-in-the-life-of-ivan-denisovich,RISKY,0.333,97,1205,,https://en.wikipedia.org/wiki/One_Day_in_the_Life_of_Ivan_Denisovich,One Day in the Life of Ivan Denisovich
92,the-stranger,RISKY,0.300,274,1208,,https://en.wikipedia.org/wiki/The_Stranger_(Camus_novel),The Stranger
94,one-hundred-years-of-solitude,PLAUSIBLE,0.579,440,1211,Nobel Prize | 1982,https://en.wikipedia.org/wiki/One_Hundred_Years_of_Solitude,One Hundred Years of Solitude
97,the-war-of-the-end-of-the-world,RISKY,0.172,1179,1207,Lion of Natuba | Maria Quadrado,https://en.wikipedia.org/wiki/The_War_of_the_End_of_the_World,The War of the End of the World
98,burgers-daughter,PLAUSIBLE,0.364,234,1209,,https://en.wikipedia.org/wiki/Burger's_Daughter,Burger's Daughter
104,to-live-yu-hua,UNVERIFIABLE,0.000,482,0,,,To Live
152,el-senor-presidente,RISKY,0.091,267,1206,The President,https://en.wikipedia.org/wiki/El_Se%C3%B1or_Presidente,El Señor Presidente
164,shanghai-baby,RISKY,0.250,259,1206,,https://en.wikipedia.org/wiki/Shanghai_Baby,Shanghai Baby
314,the-girl-with-the-dragon-tattoo,RISKY,0.099,1634,1208,Mikael Blomkvist | Henrik Vanger | Lisbeth Salander,https://en.wikipedia.org/wiki/The_Girl_with_the_Dragon_Tattoo,The Girl with the Dragon Tattoo
357,ask-the-passengers,RISKY,0.122,468,1074,,https://en.wikipedia.org/wiki/Ask_the_Passengers,Ask the Passengers
569,les-miserables,RISKY,0.317,671,1205,Inspector Javert,https://en.wikipedia.org/wiki/Les_Mis%C3%A9rables,Les Misérables
651,dialogue-galileo,RISKY,0.333,714,1206,,https://en.wikipedia.org/wiki/Dialogue_Concerning_the_Two_Chief_World_Systems,Dialogue Concerning the Two Chief World Systems
663,book-of-songs-heine,RISKY,0.192,581,1209,Book of Songs,https://en.wikipedia.org/wiki/Book_of_Songs_(Heinrich_Heine),Book of Songs
667,round-heads-and-pointed-heads,RISKY,0.170,585,1210,,https://en.wikipedia.org/wiki/Round_Heads_and_Pointed_Heads,Round Heads and Pointed Heads
717,gaibeus,UNVERIFIABLE,0.000,680,0,,,Gaibéus
732,haji-agha-hedayat,UNVERIFIABLE,0.000,616,0,,,Haji Agha
828,the-forging-of-a-rebel,UNVERIFIABLE,0.000,586,0,,,The Forging of a Rebel
920,encyclopedie-diderot,UNVERIFIABLE,0.000,592,0,,,Encyclopédie
924,the-system-of-nature,RISKY,0.245,589,1210,,https://en.wikipedia.org/wiki/The_System_of_Nature,The System of Nature
930,cacau-amado,UNVERIFIABLE,0.000,620,0,,,Cacau
931,suor-amado,UNVERIFIABLE,0.000,569,0,,,Suor
1006,the-house-of-gold,UNVERIFIABLE,0.000,612,0,,,The House of Gold
1007,five-nights,RISKY,0.100,549,486,,https://en.wikipedia.org/wiki/Five_Nights,Five Nights
1008,six-women,UNVERIFIABLE,0.000,563,0,,,Six Women
1009,the-yoke,UNVERIFIABLE,0.000,549,0,,,The Yoke
1010,the-interpretation-of-dreams,RISKY,0.209,575,1206,,https://en.wikipedia.org/wiki/The_Interpretation_of_Dreams,The Interpretation of Dreams
1012,wise-parenthood,UNVERIFIABLE,0.000,596,0,,,Wise Parenthood
1013,how-to-prevent-pregnancy,UNVERIFIABLE,0.000,516,0,,,How to Prevent Pregnancy
1014,over-lifes-edge,UNVERIFIABLE,0.000,544,0,,,Over Life's Edge
1015,sylvias-marriage,UNVERIFIABLE,0.000,577,0,,,Sylvia's Marriage
1016,la-vie-parisienne,UNVERIFIABLE,0.000,573,0,,,La Vie Parisienne
1018,safe-marriage,UNVERIFIABLE,0.000,558,0,,,Safe Marriage
1020,a-handbook-of-marxism,UNVERIFIABLE,0.000,606,0,,,A Handbook of Marxism
1021,the-hindu-art-of-love,UNVERIFIABLE,0.000,575,0,,,The Hindu Art of Love
1022,the-black-prophet,UNVERIFIABLE,0.000,603,0,,,The Black Prophet
1023,soviet-foreign-policy-finland,UNVERIFIABLE,0.000,582,0,,,Soviet Foreign Policy: The Meaning of the War in Finland
1024,questions-and-answers-on-communism,UNVERIFIABLE,0.000,565,0,,,Questions and Answers on Communism
1025,truth-and-mr-chamberlain,UNVERIFIABLE,0.000,604,0,,,Truth and Mr Chamberlain
1026,falsehood-in-war-time,RISKY,0.188,565,1208,,https://en.wikipedia.org/wiki/Falsehood_in_War-Time,Falsehood in War-Time
1027,marijuana-growers-guide,UNVERIFIABLE,0.000,556,0,,,Marijuana Grower's Guide
1028,the-joy-of-sex,RISKY,0.122,518,1205,,https://en.wikipedia.org/wiki/The_Joy_of_Sex,The Joy of Sex
