id,slug,sources,verdict_mini,confidence_mini,verdict_4o,confidence_4o,final_verdict,unsupported_count,contradicted_count,reasoning,wiki_url,ol_id
86,one-day-in-the-life-of-ivan-denisovich,Wikipedia|OpenLibrary,CONTRADICTED,high,,,CONTRADICTED,0,1,"The AI description incorrectly refers to the setting as an 'internment camp in Siberia', while the source specifies it as a 'Soviet labor camp'.",https://en.wikipedia.org/wiki/One_Day_in_the_Life_of_Ivan_Denisovich,OL258329W
53,tropic-of-cancer,OpenLibrary,VERIFIED,high,,,VERIFIED,0,0,"The AI-written description closely matches the source text, with all major claims supported and no contradictions or absent details.",,OL261866W
27,the-diary-of-a-young-girl,Wikipedia|OpenLibrary,VERIFIED,high,,,VERIFIED,0,0,"The AI description accurately reflects the content and themes of Anne Frank's diary as described in the authoritative sources, with no contradictions or unsupported claims.",https://en.wikipedia.org/wiki/The_Diary_of_a_Young_Girl,OL266178W
92,the-stranger,Wikipedia|OpenLibrary,VERIFIED,high,,,VERIFIED,0,0,"All major claims in the AI-written description are supported by the source text, with no contradictions or absent claims.",https://en.wikipedia.org/wiki/The_Stranger_(Camus_novel),OL1230613W
69,the-awakening,Wikipedia|OpenLibrary,VERIFIED,high,,,VERIFIED,1,0,"The AI description accurately reflects the key themes and elements of the novel as confirmed by the source texts. There are no contradictions, and only one claim is not explicitly stated in the sources.",https://en.wikipedia.org/wiki/The_Awakening_(Chopin_novel),OL65430W
94,one-hundred-years-of-solitude,Wikipedia|OpenLibrary,VERIFIED,high,,,VERIFIED,0,0,"All major claims in the AI-written description are supported by the source text, with no contradictions or absent claims.",https://en.wikipedia.org/wiki/One_Hundred_Years_of_Solitude,OL274505W
97,the-war-of-the-end-of-the-world,Wikipedia|OpenLibrary,VERIFIED,high,,,VERIFIED,0,0,The AI-written description accurately reflects the key elements and themes of the novel as confirmed by the authoritative sources.,https://en.wikipedia.org/wiki/The_War_of_the_End_of_the_World,OL857601W
98,burgers-daughter,Wikipedia|OpenLibrary,CONTRADICTED,high,,,CONTRADICTED,1,1,"The AI description incorrectly identifies the heroine's father as a doctor sentenced to life in prison, while the source specifies he is an activist in the SACP. This constitutes a direct contradiction.",https://en.wikipedia.org/wiki/Burger's_Daughter,OL118275W
104,to-live-yu-hua,OpenLibrary,CONTRADICTED,high,,,CONTRADICTED,3,1,"The source describes a different work, specifically 'Dream of the Red Chamber', not 'To Live' by Yu Hua, which is a contemporary novel and not classified as one of the four great classical novels.",,OL11675949W
152,el-senor-presidente,Wikipedia|OpenLibrary,VERIFIED,high,,,VERIFIED,0,0,"The AI-written description accurately reflects the key themes and historical context of 'El Señor Presidente' as described in the authoritative sources, with no contradictions or missing claims.",https://en.wikipedia.org/wiki/El_Se%C3%B1or_Presidente,OL938588W
357,ask-the-passengers,Wikipedia,VERIFIED,high,,,VERIFIED,2,0,"The AI description accurately reflects the main themes and details of the book as confirmed by the source. While some specific plot elements and thematic significance are not explicitly mentioned in the source, they do not contradict it.",https://en.wikipedia.org/wiki/Ask_the_Passengers,
164,shanghai-baby,Wikipedia|OpenLibrary,CONTRADICTED,high,,,CONTRADICTED,1,1,"The AI description contains a contradiction regarding the nationality of Mark, as the source only describes him as a married Westerner, not specifying he is German. Other claims are supported or not mentioned.",https://en.wikipedia.org/wiki/Shanghai_Baby,OL6219836W
569,les-miserables,Wikipedia|OpenLibrary,VERIFIED,high,,,VERIFIED,2,0,"The AI description accurately reflects the major themes and characters of 'Les Misérables' as confirmed by the source. There are no contradictions, and while some claims are not explicitly mentioned in the source, they align well with the overall themes of the novel.",https://en.wikipedia.org/wiki/Les_Mis%C3%A9rables,OL1063588W
314,the-girl-with-the-dragon-tattoo,Wikipedia|OpenLibrary,VERIFIED,high,,,VERIFIED,0,0,"The AI-written description accurately reflects the key elements of the book as confirmed by the source text, with no contradictions or missing claims.",https://en.wikipedia.org/wiki/The_Girl_with_the_Dragon_Tattoo,OL5784622W
651,dialogue-galileo,Wikipedia|OpenLibrary,VERIFIED,high,,,VERIFIED,2,0,"The AI description accurately reflects the main themes and content of the book as supported by the source. There are no contradictions, and while some claims are not explicitly mentioned in the source, they align with the overall context of the work.",https://en.wikipedia.org/wiki/Dialogue_Concerning_the_Two_Chief_World_Systems,OL15659546W
667,round-heads-and-pointed-heads,Wikipedia,VERIFIED,high,,,VERIFIED,1,0,"The AI description accurately captures the main themes and elements of the play as described in the source, with only one claim about the backdrop being absent from the source material.",https://en.wikipedia.org/wiki/Round_Heads_and_Pointed_Heads,OL3802688W
717,gaibeus,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,OL10544190W
663,book-of-songs-heine,Wikipedia,VERIFIED,high,,,VERIFIED,3,0,"The AI description accurately describes the nature and themes of 'Book of Songs' as a collection of poetry by Heine, which is supported by the source. However, some specific claims about socio-political context and stylistic elements are not explicitly covered in the source.",https://en.wikipedia.org/wiki/Book_of_Songs_(Heinrich_Heine),OL1103525W
732,haji-agha-hedayat,none,UNVERIFIABLE,,,,UNVERIFIABLE,0,0,No external source resolved,,OL15269947W
