id,slug,bucket,cross_book_dup,grounded_signals,hallucination_tells,dup_windows,max_fanout,ctx_len,reasoning,title
5,the-bluest-eye,THIN,0,,,0,0,950,"no signals, no tells (len=950)",The Bluest Eye
6,the-satanic-verses,GROUNDED,0,court-case,,0,0,1035,signals: court-case,The Satanic Verses
8,animal-farm,THIN,0,,,0,0,638,"no signals, no tells (len=638)",Animal Farm
9,the-handmaids-tale,THIN,0,,,0,0,531,"no signals, no tells (len=531)",The Handmaid's Tale
10,lady-chatterleys-lover,GROUNDED,0,named-law,,0,0,591,signals: named-law,Lady Chatterley's Lover
12,brave-new-world,THIN,0,,,0,0,609,"no signals, no tells (len=609)",Brave New World
13,to-kill-a-mockingbird,THIN,0,,,0,0,751,"no signals, no tells (len=751)",To Kill a Mockingbird
14,the-catcher-in-the-rye,THIN,0,,,0,0,605,"no signals, no tells (len=605)",The Catcher in the Rye
16,of-mice-and-men,THIN,0,,,0,0,831,"no signals, no tells (len=831)",Of Mice and Men
17,the-grapes-of-wrath,THIN,0,,,0,0,452,"no signals, no tells (len=452)",The Grapes of Wrath
18,the-color-purple,THIN,0,,,0,0,350,"no signals, no tells (len=350)",The Color Purple
19,beloved,THIN,0,,,0,0,342,"no signals, no tells (len=342)",Beloved
20,slaughterhouse-five,THIN,0,,,0,0,238,"no signals, no tells (len=238)",Slaughterhouse-Five
21,one-flew-over-the-cuckoos-nest,THIN,0,,,0,0,616,"no signals, no tells (len=616)",One Flew Over the Cuckoo's Nest
23,the-lord-of-the-flies,THIN,0,,,0,0,295,"no signals, no tells (len=295)",The Lord of the Flies
25,i-know-why-the-caged-bird-sings,THIN,0,,,0,0,523,"no signals, no tells (len=523)",I Know Why the Caged Bird Sings
26,native-son,THIN,0,,,0,0,479,"no signals, no tells (len=479)",Native Son
29,the-perks-of-being-a-wallflower,THIN,0,,,0,0,629,"no signals, no tells (len=629)",The Perks of Being a Wallflower
30,speak,THIN,0,,,0,0,606,"no signals, no tells (len=606)",Speak
31,the-kite-runner,THIN,0,,,0,0,324,"no signals, no tells (len=324)",The Kite Runner
32,the-golden-compass,THIN,0,,,0,0,654,"no signals, no tells (len=654)",The Golden Compass
33,harry-potter-philosophers-stone,THIN,0,,,0,0,259,"no signals, no tells (len=259)",Harry Potter and the Philosopher's Stone
34,go-ask-alice,THIN,0,,,0,0,506,"no signals, no tells (len=506)",Go Ask Alice
35,the-outsiders,THIN,0,,,0,0,511,"no signals, no tells (len=511)",The Outsiders
36,are-you-there-god-its-me-margaret,THIN,0,,,0,0,461,"no signals, no tells (len=461)","Are You There God? It's Me, Margaret"
37,forever-judy-blume,THIN,0,,,0,0,669,"no signals, no tells (len=669)",Forever
38,captain-underpants,THIN,0,,,0,0,608,"no signals, no tells (len=608)",Captain Underpants
40,james-and-the-giant-peach,THIN,0,,,0,0,590,"no signals, no tells (len=590)",James and the Giant Peach
41,bridge-to-terabithia,THIN,0,,,0,0,247,"no signals, no tells (len=247)",Bridge to Terabithia
42,flowers-for-algernon,THIN,0,,,0,0,498,"no signals, no tells (len=498)",Flowers for Algernon
43,the-house-on-mango-street,THIN,0,,,0,0,651,"no signals, no tells (len=651)",The House on Mango Street
44,catch-22,THIN,0,,,0,0,463,"no signals, no tells (len=463)",Catch-22
45,the-bell-jar,THIN,0,,,0,0,443,"no signals, no tells (len=443)",The Bell Jar
46,in-cold-blood,THIN,0,,,0,0,489,"no signals, no tells (len=489)",In Cold Blood
50,things-fall-apart,THIN,0,,,0,0,334,"no signals, no tells (len=334)",Things Fall Apart
51,lolita,THIN,0,,,0,0,316,"no signals, no tells (len=316)",Lolita
52,ulysses,GROUNDED,0,court-case,,0,0,499,signals: court-case,Ulysses
53,tropic-of-cancer,GROUNDED,0,court-case,,0,0,714,signals: court-case,Tropic of Cancer
54,naked-lunch,THIN,0,,,0,0,609,"no signals, no tells (len=609)",Naked Lunch
56,doctor-zhivago,THIN,0,,,0,0,478,"no signals, no tells (len=478)",Doctor Zhivago
57,the-master-and-margarita,THIN,0,,,0,0,425,"no signals, no tells (len=425)",The Master and Margarita
58,the-trial,THIN,0,,,0,0,547,"no signals, no tells (len=547)",The Trial
59,madame-bovary,THIN,0,,,0,0,444,"no signals, no tells (len=444)",Madame Bovary
60,american-psycho,THIN,0,,,0,0,452,"no signals, no tells (len=452)",American Psycho
66,portnoys-complaint,THIN,0,,,0,0,377,"no signals, no tells (len=377)",Portnoy's Complaint
69,the-awakening,THIN,0,,,0,0,320,"no signals, no tells (len=320)",The Awakening
70,black-boy,THIN,0,,,0,0,712,"no signals, no tells (len=712)",Black Boy
71,the-great-gatsby,THIN,0,,,0,0,505,"no signals, no tells (len=505)",The Great Gatsby
72,the-tin-drum,THIN,0,,,0,0,730,"no signals, no tells (len=730)",The Tin Drum
74,the-picture-of-dorian-gray,GROUNDED,0,quant-claim,,0,0,592,signals: quant-claim,The Picture of Dorian Gray
75,on-the-road,THIN,0,,,0,0,400,"no signals, no tells (len=400)",On the Road
76,howl-and-other-poems,THIN,0,,,0,0,528,"no signals, no tells (len=528)",Howl and Other Poems
78,song-of-solomon,THIN,0,,,0,0,574,"no signals, no tells (len=574)",Song of Solomon
79,go-tell-it-on-the-mountain,THIN,0,,,0,0,899,"no signals, no tells (len=899)",Go Tell It on the Mountain
80,the-chocolate-war,THIN,0,,,0,0,377,"no signals, no tells (len=377)",The Chocolate War
82,the-absolutely-true-diary-of-a-part-time-indian,THIN,0,,,0,0,655,"no signals, no tells (len=655)",The Absolutely True Diary of a Part-Time Indian
83,the-giver,THIN,0,,,0,0,272,"no signals, no tells (len=272)",The Giver
84,a-wrinkle-in-time,THIN,0,,,0,0,581,"no signals, no tells (len=581)",A Wrinkle in Time
85,the-gulag-archipelago,THIN,0,,,0,0,509,"no signals, no tells (len=509)",The Gulag Archipelago
88,darkness-at-noon,THIN,0,,,0,0,413,"no signals, no tells (len=413)",Darkness at Noon
89,nana-zola,THIN,0,,,0,0,448,"no signals, no tells (len=448)",Nana
93,the-decameron,GROUNDED,0,named-law,,0,0,431,signals: named-law,The Decameron
94,one-hundred-years-of-solitude,GROUNDED,0,quant-claim,,0,0,369,signals: quant-claim,One Hundred Years of Solitude
96,the-house-of-the-spirits,THIN,0,,,0,0,649,"no signals, no tells (len=649)",The House of the Spirits
100,midnights-children,THIN,0,,,0,0,380,"no signals, no tells (len=380)",Midnight's Children
106,the-god-of-small-things,THIN,0,,,0,0,366,"no signals, no tells (len=366)",The God of Small Things
108,tess-of-the-durbervilles,THIN,0,,,0,0,438,"no signals, no tells (len=438)",Tess of the d'Urbervilles
109,the-book-thief,THIN,0,,,0,0,470,"no signals, no tells (len=470)",The Book Thief
111,monster-walter-dean-myers,THIN,0,,,0,0,718,"no signals, no tells (len=718)",Monster
113,dubliners,THIN,0,,,0,0,276,"no signals, no tells (len=276)",Dubliners
114,tobacco-road,THIN,0,,,0,0,672,"no signals, no tells (len=672)",Tobacco Road
117,myra-breckinridge,THIN,0,,,0,0,245,"no signals, no tells (len=245)",Myra Breckinridge
