#Hockey,"Ukazu, Ngozi",,,,"Check, Please!",Texas,Frisco Independent School District,November 2022,Banned from Libraries and Classrooms,Informal Challenge
#Hockey,"Ukazu, Ngozi",,,,"Check, Please!",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
10 Things I Can See from Here,"Mac, Carrie",,,,,Florida,Escambia County Public Schools,June 2023,Banned Pending Investigation,Formal Challenge
"10,000 Dresses","Ewert, Marcus",,"Ray, Rex",,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
"10,000 Dresses","Ewert, Marcus",,"Ray, Rex",,,Florida,Seminole County Public Schools,July 2022,Banned from Libraries,Formal Challenge
"1001 Comics You Must Read Before You Die: The Ultimate Guide to Comic Books, Graphic Novels, and Manga","Gravett, Paul",,,,,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
101 Questions About Reproduction: Or How 1 + 1 = 3 or 4 or More,"Brynie, Faith Hickman",,,,,Utah,Washington County School District,February 2023,Banned from Libraries,Administration
11/22/63: A Novel,"King, Stephen",,,,,Virginia,Madison County Public Schools,January 2023,Banned from Libraries and Classrooms,Administration
13 Art Inventions Children Show Know,"Heine, Florian",,,,13... Children Should Know,Florida,Brevard Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge
19 Love Songs,"Levithan, David",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
1984,"Orwell, George",,,,,Texas,Frisco Independent School District,January 2023,Banned from Libraries,Administration
1984,"Orwell, George",,,,,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration
1984: The Graphic Novel,"Orwell, George",,"Nesti, Fido",,,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration
1984: The Graphic Novel,"Orwell, George",,"Nesti, Fido",,,Missouri,Kirkwood School District,October 2022,Banned from Libraries and Classrooms,Legislative Action
"20,000 Leagues Under the Sea (Graphic Novel)","Verne, Jules","Bowen, Carl","Ruiz, Jose Alfonso",,Graphic Revolve: Common Core Editions,Texas,Frisco Independent School District,September 2022,Banned from Libraries,Administration
33 Snowfish,"Rapp, Adam",,"Ering, Timothy Basil",,,Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
33 Snowfish,"Rapp, Adam",,"Ering, Timothy Basil",,,Florida,Martin County Schools,March 2023,Banned from Libraries and Classrooms,Formal Challenge
47,"Mosley, Walter",,,,,Texas,Keller Independent School District,Fall 2022,Banned Pending Investigation,Formal Challenge
50 Artists You Should Know,"Köster, Thomas","Röper, Lars",,,50 You Should Know,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
50 Paintings You Should Know,"Lowis, Kristina","Pickeral, Tamsin",,,50 You Should Know,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
50 Sculptures You Should Know,"Kühl, Isabel","Reichold, Klaus",,,50 You Should Know,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
50 Women Artists You Should Know,"Weidemann, Christiane","Larass, Petra; Klier, Melanie",,,,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
A + E 4ever,"Merey, I.",,,,,Texas,Keller Independent School District,Fall 2022,Banned from Libraries and Classrooms,Formal Challenge
A Baby Doesn't Make the Man: Alternative Sources of Power and Manhood for Young Men,"Jamiolkowski, Raymond",,,,,Texas,Texarkana Independent School District,October 2022,Banned Pending Investigation,Informal Challenge
A Bad Boy Can Be Good for a Girl,"Stone, Tanya Lee",,,,,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration
A Bad Boy Can Be Good for a Girl,"Stone, Tanya Lee",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
A Bad Boy Can Be Good for a Girl,"Stone, Tanya Lee",,,,,Florida,Lake County Schools,Fall 2022,Banned from Libraries and Classrooms,Legislative Action
A Brief History of Manga,"McCarthy, Helen",,,,,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
A Certain Slant of Light,"Whitcomb, Laura",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
"A Child Called ""It"": One Child's Courage to Survive","Pelzer, Dave",,,,,Michigan,Chippewa Valley Schools,January 2023,Banned from Libraries,Formal Challenge
"A Child Called ""It"": One Child's Courage to Survive","Pelzer, Dave",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
A Child Was Born: A Christmas Story,"Maccarone, Grace",,"Williams, Sam",,,Florida,Brevard Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge
A Child's First Bible,"Stoddard, Sandol",,"Chen, Tony",,,Florida,Brevard Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge
A Child's Story of Christmas,"Williams, Karin",,,,,Florida,Brevard Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge
A Clash of Kings,"Martin, George R. R.",,,,A Song of Ice and Fire,Texas,Frisco Independent School District,September 2022,Banned from Libraries and Classrooms,Administration
A Clash of Kings,"Martin, George R. R.",,,,A Song of Ice and Fire,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration
A Clash of Steel: A Treasure Island Remix,"Lee, C. B.",,,,Remixed Classics,Texas,Frisco Independent School District,March 2023,Banned from Libraries,Administration
A Court of Frost and Starlight,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Wisconsin,School District of Somerset,February 2023,Banned Pending Investigation,Formal Challenge
A Court of Frost and Starlight,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Utah,Alpine School District,November 2022,Banned from Libraries and Classrooms,Legislative Action
A Court of Frost and Starlight,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Utah,Granite School District,October 2022,Banned from Libraries and Classrooms,Formal Challenge
A Court of Frost and Starlight,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Utah,Jordan School District,AY 2022-2023,Banned from Libraries and Classrooms,Formal Challenge
A Court of Frost and Starlight,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Utah,Nebo School District,AY 2022-2023,Banned from Libraries and Classrooms,Formal Challenge
A Court of Frost and Starlight,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Utah,Washington County School District,July 2022,Banned from Libraries and Classrooms,Informal Challenge
A Court of Frost and Starlight,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Texas,Conroe Independent School District,September 2022,Banned from Libraries and Classrooms,Formal Challenge
