record_id,title,author,secondary_authors,illustrators,translators,series,state,district,date,ban_status
recrSz3RSVAH8HoGi,The House of the Scorpion,"Farmer, Nancy",,,,The House of the Scorpion,Florida,Clay County School District,June 2025,Banned by Restriction
rec6MX98WyIgOT9kZ,The Impossible Knife of Memory,"Anderson, Laurie Halse",,,,,Florida,Clay County School District,January 2025,Banned
receXZS4STu4xTd9D,The Invention of Wings,"Kidd, Sue Monk",,,,,Florida,Clay County School District,December 2024,Banned
recAWRo3D64TP9tc3,The Julian Game,"Griffin, Adele",,,,,Florida,Clay County School District,June 2025,Banned
rec6uW3XxjJkoym8l,The Last of August,"Cavallaro, Brittany",,,,Charlotte Holmes,Florida,Clay County School District,March 2025,Banned by Restriction
recIacePt5GnIxDo0,The Line Tender,"Allen, Kate",,,,,Florida,Clay County School District,May 2025,Banned by Restriction
recPALAWQmcAel0fl,The Living,"de la Peña, Matt",,,,,Florida,Clay County School District,April 2025,Banned by Restriction
rec36alJADpEBzKB8,The Lost Symbol,"Brown, Dan",,,,,Florida,Clay County School District,January 2025,Banned
recBgLcytu75zngcE,The Masked Truth,"Armstrong, Kelley",,,,,Florida,Clay County School District,June 2025,Banned by Restriction
recmQHjHc4BAN2AY0,The Moon and More,"Dessen, Sarah",,,,,Florida,Clay County School District,April 2025,Banned by Restriction
recKM071UMNroQOU1,The Name Of The Star,"Johnson, Maureen",,,,Shades of London,Florida,Clay County School District,May 2025,Banned by Restriction
recTJwkDc2dz616xj,The Naturals,"Barnes, Jennifer Lynn",,,,The Naturals,Florida,Clay County School District,June 2025,Banned by Restriction
recxqHIqOW6aA0QbT,The Nature of Jade,"Caletti, Deb",,,,,Florida,Clay County School District,February 2025,Banned by Restriction
recBBgIHE9JIVsHv9,The Notebook,"Sparks, Nicholas",,,,The Notebook,Florida,Clay County School District,March 2025,Banned
recDxMKRwA4baJb6h,The O'Reilly Factor for Kids: A Survival Guide for America's Families,"O'Reilly, Bill",,,,,Florida,Clay County School District,June 2025,Banned
rec00VfQpDfLU9wcH,The Pact: A Love Story,"Picoult, Jodi",,,,,Florida,Clay County School District,October 2024,Banned
recfQUFpMldmaA9Fd,The Porcupine of Truth,"Konigsberg, Bill",,,,,Florida,Clay County School District,October 2024,Banned
rec3vKJyBqujrABNL,The Princess Present: A Princess Diaries Book,"Cabot, Meg",,,,The Princess Diaries,Florida,Clay County School District,April 2025,Banned Pending Investigation
recLCewCyFmrETFGZ,The Queen of Everything,"Caletti, Deb",,,,,Florida,Clay County School District,February 2025,Banned
recLoeP74XpQB5jTc,The Queen of Kentucky,"Whitaker, Alecia",,,,,Florida,Clay County School District,October 2024,Banned by Restriction
recmZy1PouaZlHvDc,The Queen of Nothing,"Black, Holly",,,,The Folk of the Air,Florida,Clay County School District,January 2025,Banned
reczr3Jr8f9kQTURt,The Queen's Gambit,"Tevis, Walter",,,,,Florida,Clay County School District,December 2024,Banned
recgH6yrJd955CQYU,The Rag and Bone Shop,"Cormier, Robert",,,,,Florida,Clay County School District,March 2025,Banned
recebkNOjRI2HCCIY,The Rescue,"Sparks, Nicholas",,,,,Florida,Clay County School District,March 2025,Banned
recsCziOVcNDBZMh9,The Return,"Sparks, Nicholas",,,,,Florida,Clay County School District,October 2024,Banned
recRIu33pCtjj3aNT,The Revolution of Birdie Randolph,"Colbert, Brandy",,,,,Florida,Clay County School District,March 2025,Banned
recHHTwpwAWXRvOHA,The Ring and the Crown,"de la Cruz, Melissa",,,,Ring and Crown,Florida,Clay County School District,April 2025,Banned
recqbP5Nei0mxc6QS,The Running Dream,"Van Draanen, Wendelin",,,,,Florida,Clay County School District,August 2024,Banned by Restriction
recrZsIUYQyuVYdN7,The Second Summer Of The Sisterhood,"Brashares, Ann",,,,Sisterhood Series,Florida,Clay County School District,January 2025,Banned
reccrjtYvRy0MWIGJ,The Shadow in the North,"Pullman, Philip",,,,Sally Lockhart Mysteries,Florida,Clay County School District,June 2025,Banned by Restriction
recYdnzpBylRfZin3,The Silvered Serpents,"Chokshi, Roshani",,,,,Florida,Clay County School District,April 2025,Banned Pending Investigation
recNRtFSLR4gG5fdk,The Six Rules of Maybe,"Caletti, Deb",,,,,Florida,Clay County School District,February 2025,Banned by Restriction
recsPQr7AcGN1w4Iv,The Speaker,"Chee, Traci",,,,,Florida,Clay County School District,March 2025,Banned by Restriction
recfzzTWvrt7eGng3,The Steps,"Cohn, Rachel",,,,,Florida,Clay County School District,April 2025,Banned Pending Investigation
recTSZ5N2NyBgc4RT,The Stolen Heir,"Black, Holly",,,,The Stolen Heir,Florida,Clay County School District,January 2025,Banned
recZ8HTiOjujKzmBx,The Story of Us,"Caletti, Deb",,,,,Florida,Clay County School District,February 2025,Banned
recysfRr8JjDjQI6x,The Sweet Far Thing,"Bray, Libba",,,,The Gemma Doyle Trilogy,Florida,Clay County School District,October 2024,Banned
recZ3zoBDDbUMMNZC,The Tenth Circle,"Picoult, Jodi",,,,,Florida,Clay County School District,December 2024,Banned
recQy95oCkCj2OZu1,The Testing,"Charbonneau, Joelle",,,,The Testing Trilogy,Florida,Clay County School District,October 2024,Banned by Restriction
recZskaM3yhXkJUn8,The Truth about Forever,"Dessen, Sarah",,,,,Florida,Clay County School District,April 2025,Banned Pending Investigation
recAyfP8SOIfkAfzV,The Truth and Lies of Ella Black,"Barr, Emily",,,,,Florida,Clay County School District,June 2025,Banned by Restriction
recQq6DY6qDSgy5q2,The Voting Booth,"Colbert, Brandy",,,,,Florida,Clay County School District,April 2025,Banned Pending Investigation
recEh5pnceRQCwSxI,The Walls Around Us,"Suma, Nova Ren",,,,,Florida,Clay County School District,June 2025,Banned by Restriction
recFGWG8WYzN5xW1p,The Warrior Heir,"Chima, Cinda Williams",,,,The Heir Chronicles,Florida,Clay County School District,June 2025,Banned by Restriction
recgfwsttS76neyxb,The Wish,"Sparks, Nicholas",,,,,Florida,Clay County School District,March 2025,Banned by Restriction
recEsX0O93bPp7BYP,The Year of Living Awkwardly,"Chastain, Emma",,,,,Florida,Clay County School District,March 2025,Banned
reczftKZ3NLmWRiKX,Things We Couldn't Say,"Coles, Jay",,,,,Florida,Clay County School District,October 2024,Banned
recgAN1n97BhZzp1k,Thirsty,"Anderson, M. T.",,,,,Florida,Clay County School District,January 2025,Banned
reckKkvaRvNwQKP3U,Thirteen Plus One,"Myracle, Lauren",,,,The Winnie Years,Florida,Clay County School District,May 2025,Banned by Restriction
recl0qgFUInAC9ejc,This is all: The Pillow Book of Cordelia Kenn,"Chambers, Aiden",,,,,Florida,Clay County School District,March 2025,Banned
recSM7KQAQScYzOAI,This Is Our Story,"Elston, Ashley",,,,,Florida,Clay County School District,May 2025,Banned
recHa8F7ABpXL8hWu,This Lullaby,"Dessen, Sarah",,,,,Florida,Clay County School District,April 2025,Banned by Restriction
rec2ZAkmtXsHg0tqU,Thousand Words,"Brown, Jennifer",,,,,Florida,Clay County School District,January 2025,Banned
recYQQeQZHsLIL1A5,Tiny Pretty Things,"Charaipotra, Sona","Clayton, Dhonielle",,,Tiny Pretty Things,Florida,Clay County School District,March 2025,Banned by Restriction
recHX3SWTlgKqNEJ7,Tithe,"Black, Holly",,,,The Modern Faerie Tales,Florida,Clay County School District,January 2025,Banned
recQWqzHE9TKz9hNr,"Today, Tonight, Tomorrow","Solomon, Rachel Lynn",,,,Today Tonight Tomorrow,Florida,Clay County School District,March 2025,Banned
reccjBmw1rOT5pgS3,"Tomorrow, When the War Began","Marsden, John",,,,Tomorrow,Florida,Clay County School District,December 2024,Banned
recQGD4MteYURj0RG,Top Ten,"Cotugno, Katie",,,,,Florida,Clay County School District,April 2025,Banned
recRCVh1J8AhHRZbP,Twilight,"Meyer, Stephenie",,,,The Twlight Saga,Florida,Clay County School District,April 2025,Banned Pending Investigation
recH562DlyZNKZf7O,Two By Two,"Sparks, Nicholas",,,,,Florida,Clay County School District,March 2025,Banned
recTsYXlXgF76iwAD,Tyrell,"Booth, Coe",,,,,Florida,Clay County School District,October 2024,Banned
recaYHiN9ykwA3X9u,Under Rose-Tainted Skies,"Gornall, Louise",,,,,Florida,Clay County School District,June 2025,Banned by Restriction
recSB3q7AwpRPX6y4,Under Shifting Stars,"Latos, Alexandra",,,,,Florida,Clay County School District,December 2024,Banned
recUBj7OBE3N3Plop,Undertow,"Buckley, Michael",,,,The Undertow Trilogy,Florida,Clay County School District,May 2025,Banned
recZ2okZVMU9mjeck,Underworld,"Cabot, Meg",,,,Abandon,Florida,Clay County School District,February 2025,Banned
rec20Ubib9uHHYjLC,Untamed (PCC),"Cast, P. C.","Cast, Kristin",,,House of Night,Florida,Clay County School District,March 2025,Banned
recrJCe4rIRgZnnLh,Valentine Princess,"Cabot, Meg",,,,The Princess Diaries,Florida,Clay County School District,February 2025,Banned by Restriction
recdVWWmjX33IUab9,Valient: A Modern Tale of Faerie,"Black, Holly",,,,The Modern Faerie Tales,Florida,Clay County School District,January 2025,Banned
recYSE6HXxJdD612a,Vanished: Books One & Two: When Lightning Strikes; Code Name Cassandra,"Cabot, Meg",,,,1-800-WHERE-R-U,Florida,Clay County School District,April 2025,Banned by Restriction
rec69LXYWhZiRWAeU,Vicious Spirits,"Cho, Kat",,,,,Florida,Clay County School District,April 2025,Banned Pending Investigation
rec0yoEc6FiIH000Q,Violent Ends,"Hutchinson, Shaun David","Shusterman, Neil; Shusterman, Brendan; Revis, Beth; Leitich Smith, Cynthia; Summers, Courtney; Blake, Kendare; Dawson, Delilah S.; Brezenoff, Steve; Leveen, Tom; Moskowitz, Hannah; Woolston, Blythe; Doller, Trish; Scott, Mindi; Gelbwasser, Margie; Johnson, Christine; Kokie, E.M.; Nader, Elisa",,,,Florida,Clay County School District,December 2024,Banned
recJnqqudijM1yOq2,Walk Two Moons,"Creech, Sharon",,,,,Florida,Clay County School District,April 2025,Banned Pending Investigation
recTt7BXjSxqwbAwY,What Happened to Goodbye,"Dessen, Sarah",,,,,Florida,Clay County School District,June 2025,Banned by Restriction
reciMtHSjkvShWy80,What I Saw And How I Lied,"Blundell, Judy",,,,,Florida,Clay County School District,October 2024,Banned by Restriction
recEKM5jjkpbTQW50,When Mr. Dog Bites,"Conaghan, Brian",,,,,Florida,Clay County School District,March 2025,Banned
recMHlmDqkXZWsajn,When We Make It: A Nuyorican Novel,"Velasquez, Elisabet",,,,,Florida,Clay County School District,September 2024,Banned
recIimyGXHIFOFMup,White Space,"Bick, Ilsa J.",,,,The Dark Passages,Florida,Clay County School District,June 2025,Banned by Restriction
recRcdtjLG347o3Zn,Why We Broke Up,"Handler, Daniel",,"Kalman, Maira",,,Florida,Clay County School District,June 2025,Banned
rec84lSHDRGzDP9Kz,Wicked Fox,"Cho, Kat",,,,Gumiho,Florida,Clay County School District,April 2025,Banned by Restriction
recM3yBF5S4OhikV0,Willow,"Hoban, Julia",,,,,Florida,Clay County School District,December 2024,Banned
recqd2fScCm0L2u0x,Wolf Hollow,"Wolk, Lauren",,,,,Florida,Clay County School District,May 2025,Banned by Restriction
recwG8St3fCeoNFeK,Wonders of the Invisible World,"Barzak, Christopher",,,,,Florida,Clay County School District,December 2024,Banned by Restriction
recEFUtFkCZHENXo9,Wrecked,"Frank, E. R.",,,,,Florida,Clay County School District,December 2024,Banned
recox03SArk2m3XXT,You Say It First,"Cotugno, Katie",,,,,Florida,Clay County School District,April 2025,Banned
recaQRIeuqlhbKgXu,Zenn Diagram,"Brant, Wendy",,,,,Florida,Clay County School District,January 2025,Banned
