author_id,display_name,source,url,meta,status
788,A. J. Sass,,,openlibrary: no match with photo,skipped
2063,A.M. Wild,,,no openlibrary match,skipped
1262,Aaron H. Aceves,,,openlibrary: no match with photo,skipped
1301,Aaron Starmer,,,openlibrary: no match with photo,skipped
845,Abbi Glines,openlibrary,https://covers.openlibrary.org/a/olid/OL7172696A-L.jpg?default=false,olid=OL7172696A works=189,accepted
2963,Abby Howard,,,openlibrary: no match with photo,skipped
448,Abdelrahman Munif,,,openlibrary: no match with photo,skipped
623,Abdullah Al Busais,,,no openlibrary match,skipped
1964,Abigail Tarttelin,,,openlibrary: no match with photo,skipped
2623,Abraham Resnick,,,openlibrary: no match with photo,skipped
